Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-4,r8937440-n43543,0,690,1623532961,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,700,1623532971,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,710,1623532981,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,720,1623532991,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,730,1623533001,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,740,1623533011,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,750,1623533021,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,760,1623533031,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,770,1623533041,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,780,1623533051,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,790,1623533061,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,800,1623533071,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,810,1623533081,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,820,1623533091,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,830,1623533101,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,840,1623533111,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,850,1623533121,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,860,1623533131,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,870,1623533141,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,880,1623533151,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,890,1623533161,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,900,1623533171,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,910,1623533181,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,920,1623533191,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,930,1623533201,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,940,1623533211,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,950,1623533221,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,960,1623533231,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,970,1623533241,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,980,1623533251,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,990,1623533261,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1000,1623533271,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1010,1623533281,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1020,1623533291,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1030,1623533301,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1040,1623533311,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1050,1623533321,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1060,1623533331,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1070,1623533341,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1080,1623533351,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1090,1623533361,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1100,1623533371,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1110,1623533381,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1120,1623533391,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1130,1623533401,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1140,1623533411,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1150,1623533421,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1160,1623533431,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1170,1623533441,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1180,1623533451,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1190,1623533461,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1200,1623533471,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1210,1623533481,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1220,1623533491,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1230,1623533501,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1240,1623533511,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1250,1623533521,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1260,1623533531,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1270,1623533541,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1280,1623533551,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1290,1623533561,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1300,1623533571,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1310,1623533581,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1320,1623533591,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1330,1623533601,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1340,1623533611,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1350,1623533621,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1360,1623533631,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1370,1623533641,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1380,1623533651,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1390,1623533661,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1400,1623533671,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1410,1623533681,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1420,1623533691,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1430,1623533701,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1440,1623533711,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1450,1623533721,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1460,1623533731,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1470,1623533741,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1480,1623533751,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1490,1623533761,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1500,1623533771,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1510,1623533781,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1520,1623533791,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1530,1623533801,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1540,1623533811,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1550,1623533821,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1560,1623533831,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1570,1623533841,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1580,1623533851,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1590,1623533861,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1600,1623533871,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1610,1623533881,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1620,1623533891,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1630,1623533901,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1640,1623533911,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1650,1623533921,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1660,1623533931,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1670,1623533941,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1680,1623533951,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1690,1623533961,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1700,1623533971,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1710,1623533981,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1720,1623533991,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1730,1623534001,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1740,1623534011,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1750,1623534021,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1760,1623534031,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1770,1623534041,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1780,1623534051,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1790,1623534061,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1800,1623534071,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1810,1623534081,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1820,1623534091,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1830,1623534101,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1840,1623534111,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1850,1623534121,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1860,1623534131,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1870,1623534141,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1880,1623534151,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1890,1623534161,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1900,1623534171,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1910,1623534181,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1920,1623534191,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1930,1623534201,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1940,1623534211,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1950,1623534221,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1960,1623534231,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1970,1623534241,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1980,1623534251,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,1990,1623534261,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2000,1623534271,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2010,1623534281,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2020,1623534291,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2030,1623534301,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2040,1623534311,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2050,1623534321,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2060,1623534331,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2070,1623534341,1048,0,0,780,7776,0,0,0
